,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
5299,PTSI,9.701591530922826,Industrials,0.42,557525248.0,0.5888136,0.09576,3.55,Small-Cap,25.96999931335449,240.25546975784167,194.31303700203858
5310,PUMP,2.6705101175085053,Energy,-0.32,792371200.0,0.6191846,0.00159,2.11,Small-Cap,6.880000114440918,117.03469870210044,71.09226594629737
5313,PVH,22.753796034388877,Consumer Cyclical,0.8,5456013824.0,0.6045981,0.02221,11.29,Mid-Cap,86.41999816894531,119.79956500913032,73.85713225332725
5316,PWFL,2.0349641817373447,Technology,-0.6,99468328.0,0.7359466,-0.051810004,0.04,Micro-Cap,2.7100000381469727,-40.308368702257205,-86.25080145806028
5319,PWR,36.56482253128748,Industrials,1.97,24067528704.0,1.4096091,0.028770002,8.09,Large-Cap,167.2899932861328,418.5525012604919,372.61006850468885
5325,PXD,60.40971642087289,Energy,-1.46,52539179008.0,2.1546578,0.32173002,23.01,Large-Cap,225.3000030517578,230.41875501129985,184.47632225549677
5326,PXLW,1.0987330216001385,Technology,-0.27,83847912.0,1.1953342,-0.22851999,-0.22,Micro-Cap,1.4900000095367432,-60.26666641235352,-106.2090991681566
5334,PYPL,76.34610258583702,Financial Services,1.03,83290046464.0,3.026748,0.087910004,5.59,Large-Cap,73.58000183105469,-31.57894624824137,-77.52137900404445
5339,PZZA,17.396026174895926,Consumer Cyclical,3.11,2606040320.0,1.23973,0.03224,3.31,Mid-Cap,74.7699966430664,8.897435264923953,-37.044997490879126
5341,QCOM,24.147045467121007,Technology,-1.74,131302408192.0,3.0565298,0.27403998,11.42,Large-Cap,118.63999938964844,69.69880239239968,23.75636963659661
5342,QCRH,9.828946850083478,Financial Services,0.67,691351744.0,2.2774422,0.32634,6.32,Small-Cap,41.15999984741211,59.14281426450162,13.200381508698541
5344,QDEL,53.57307875759932,Healthcare,2.38,6059972096.0,1.8554722,0.168,5.81,Mid-Cap,89.56999969482422,-20.69240503045542,-66.63483778625849
5348,QGEN,3.665226354419091,Healthcare,-5.33,10267759616.0,4.7946177,0.19761999,2.32,Large-Cap,44.88999938964844,8.325291692253725,-37.617141063549354
5353,QLYS,15.632297241412386,Technology,3.76,4574744064.0,9.341493,0.22052,4.71,Mid-Cap,124.87999725341795,16.797605117888104,-29.14482763791497
5354,QMCO,2.441965932738265,Technology,-0.7,102584624.0,0.25479835,-0.07985,0.02,Micro-Cap,0.9900000095367432,-74.2857134010442,-120.22814615684729
5357,QNST,3.881117141569658,Communication Services,1.84,637060672.0,1.1083151,-0.02646,0.59,Small-Cap,11.93000030517578,44.082133936190644,-1.8602988196124315
5361,QRHC,2.137375914671338,Industrials,-3.27,109666552.0,0.3860984,-0.021289999,0.06,Micro-Cap,5.389999866485596,314.6153895530477,268.67295679724464
5362,QRTEA,3.9138810897473553,Consumer Cyclical,-2.2,309679680.0,0.025580676,-0.21427,0.17,Small-Cap,0.7599999904632568,-83.31759121765788,-129.26002397346096
5365,QRVO,35.109495614718746,Technology,1.61,9284701184.0,2.2629862,0.11062,4.37,Mid-Cap,92.95999908447266,14.510961733201446,-31.431471022601627
